fast runs
PF geneva
Daily PF:  2025-01-01 → 2025-12-31  (364 days,  20 perturbed members)
Depth weights: {0: 0.38, -1.0: 0.88, -2.0: 1.5, -4.0: 2.0, -6.0: 2.0, -8.0: 2.0, -10.0: 2.0, -12.0: 2.0, -14.0: 2.0, -16.0: 2.0, -18.0: 2.5, -21.0: 3.0, -24.0: 3.0, -27.0: 3.0, -30.0: 4.0, -35.0: 5.0, -40.0: 5.0, -45.0: 5.0, -50.0: 2.5}

Started 21 persistent containers.

  2025-05-08  best=ensemble10  RMSE=1.7092 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.0s  score=1.1s  total=20.2s]
  2025-05-09  best=ensemble17  RMSE=1.4480 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-10  best=ensemble07  RMSE=0.9324 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-11  best=ensemble17  RMSE=1.1064 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-12  best=ensemble20  RMSE=0.9441 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-13  best=ensemble20  RMSE=0.4320 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-14  best=ensemble07  RMSE=0.3585 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-15  best=ensemble20  RMSE=0.3758 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-05-16  best=ensemble20  RMSE=0.8160 °C  obs_raw=456  matched=418  [ok]  [docker=17.4s  accum=0.0s  mean=2.2s  score=1.1s  total=20.7s]
  2025-05-17  best=ensemble14  RMSE=0.9281 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-05-18  best=ensemble01  RMSE=1.0851 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-05-19  best=ensemble12  RMSE=0.8764 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-05-20  best=ensemble13  RMSE=0.6272 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-05-21  best=ensemble11  RMSE=0.5650 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-22  best=ensemble13  RMSE=0.5411 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-23  best=ensemble05  RMSE=0.6030 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.0s  score=1.1s  total=20.1s]
  2025-05-24  best=ensemble09  RMSE=0.6716 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.0s  score=1.1s  total=20.3s]
  2025-05-25  best=ensemble04  RMSE=0.7279 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-05-26  best=ensemble14  RMSE=0.8022 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
